Race's Country,Race's Distance,Runner's Gender,Participation Count
GBR,,F,16388
GBR,,M,32454
GBR,100km,,14816
GBR,100km,F,6372
GBR,100km,M,8444
GBR,100mi,,5847
GBR,100mi,F,1159
GBR,100mi,M,4688
GBR,50km,,15147
GBR,50km,F,5466
GBR,50km,M,9681
GBR,50mi,,13032
GBR,50mi,F,3391
GBR,50mi,M,9641
GER,,,26637
GER,,F,5650
GER,,M,20987
GER,100km,,6248
GER,100km,F,1265
GER,100km,M,4983
GER,100mi,,2478
GER,100mi,F,465
GER,100mi,M,2013
GER,50km,,17704
GER,50km,F,3900
GER,50km,M,13804
GER,50mi,,207
GER,50mi,F,20
GER,50mi,M,187
GRE,,,2910
GRE,,F,256
GRE,,M,2654
GRE,100km,,979
GRE,100km,F,45
GRE,100km,M,934
GRE,100mi,,505
GRE,100mi,F,21
GRE,100mi,M,484
GRE,50km,,1426
GRE,50km,F,190
GRE,50km,M,1236
GUA,,,127
GUA,,F,24
GUA,,M,103
GUA,100km,,41
GUA,100km,F,7
GUA,100km,M,34
GUA,100mi,,3
GUA,100mi,F,1
GUA,100mi,M,2
GUA,50km,,83
GUA,50km,F,16
GUA,50km,M,67
HKG,,,29544
HKG,,F,5982
HKG,,M,23562
HKG,100km,,20901
HKG,100km,F,4100
HKG,100km,M,16801
HKG,100mi,,41
HKG,100mi,F,7
HKG,100mi,M,34
HKG,50km,,8510
HKG,50km,F,1859
HKG,50km,M,6651
HKG,50mi,,92
HKG,50mi,F,16
HKG,50mi,M,76
HUN,,,3712
HUN,,F,1067
HUN,,M,2645
HUN,100km,,770
HUN,100km,F,187
HUN,100km,M,583
HUN,100mi,,369
HUN,100mi,F,75
HUN,100mi,M,294
HUN,50km,,2382
HUN,50km,F,755
HUN,50km,M,1627
HUN,50mi,,191
HUN,50mi,F,50
HUN,50mi,M,141
INA,,,607
INA,,F,96
INA,,M,511
INA,100km,,264
INA,100km,F,38
INA,100km,M,226
INA,100mi,,1
INA,100mi,M,1
INA,50km,,342
INA,50km,F,58
INA,50km,M,284
IND,,,2261
IND,,F,289
IND,,M,1972
IND,100km,,281
IND,100km,F,38
IND,100km,M,243
IND,100mi,,40
IND,100mi,M,40
IND,50km,,1940
IND,50km,F,251
IND,50km,M,1689
IRL,,,2040
IRL,,F,406
IRL,,M,1634
IRL,100km,,226
IRL,100km,F,45
IRL,100km,M,181
IRL,100mi,,205
IRL,100mi,F,39
IRL,100mi,M,166
IRL,50km,,1350
IRL,50km,F,281
IRL,50km,M,1069
IRL,50mi,,259
IRL,50mi,F,41
IRL,50mi,M,218
ISL,,,49
ISL,,F,8
ISL,,M,41
ISL,100km,,10
ISL,100km,F,1
ISL,100km,M,9
ISL,50km,,31
ISL,50km,F,7
ISL,50km,M,24
ISL,50mi,,8
ISL,50mi,M,8
ISR,,,1053
ISR,,F,132
ISR,,M,921
ISR,100km,,383
ISR,100km,F,37
ISR,100km,M,346
ISR,100mi,,7
ISR,100mi,F,1
ISR,100mi,M,6
ISR,50km,,663
ISR,50km,F,94
ISR,50km,M,569
ITA,,,45444
ITA,,F,8090
ITA,,M,37354
ITA,100km,,17440
ITA,100km,F,2987
ITA,100km,M,14453
ITA,100mi,,368
ITA,100mi,F,99
ITA,100mi,M,269
ITA,50km,,26943
ITA,50km,F,4866
ITA,50km,M,22077
ITA,50mi,,693
ITA,50mi,F,138
ITA,50mi,M,555
JOR,,,64
JOR,,F,21
JOR,,M,43
JOR,100km,,10
JOR,100km,F,4
JOR,100km,M,6
JOR,50km,,54
JOR,50km,F,17
JOR,50km,M,37
JPN,,,104814
JPN,,F,16895
JPN,,M,87919
JPN,100km,,85164
JPN,100km,F,12907
JPN,100km,M,72257
JPN,100mi,,1886
JPN,100mi,F,171
JPN,100mi,M,1715
JPN,50km,,17660
JPN,50km,F,3811
JPN,50km,M,13849
JPN,50mi,,104
JPN,50mi,F,6
JPN,50mi,M,98
KAZ,,,151
KAZ,,F,20
KAZ,,M,131
KAZ,50km,,151
KAZ,50km,F,20
KAZ,50km,M,131
KOR,,,10926
KOR,,F,1237
KOR,,M,9689
KOR,100km,,7146
KOR,100km,F,637
KOR,100km,M,6509
KOR,100mi,,55
KOR,100mi,F,8
KOR,100mi,M,47
KOR,50km,,3622
KOR,50km,F,585
KOR,50km,M,3037
KOR,50mi,,103
KOR,50mi,F,7
KOR,50mi,M,96
KSA,,,21
KSA,,F,7
KSA,,M,14
KSA,50km,,21
KSA,50km,F,7
KSA,50km,M,14
LAT,,,415
LAT,,F,94
LAT,,M,321
LAT,100km,,298
LAT,100km,F,65
LAT,100km,M,233
LAT,50km,,117
LAT,50km,F,29
LAT,50km,M,88
LES,,,184
LES,,F,53
LES,,M,131
LES,50km,,184
LES,50km,F,53
LES,50km,M,131
LTU,,,157
LTU,,F,36
LTU,,M,121
LTU,100km,,82
LTU,100km,F,20
LTU,100km,M,62
LTU,50km,,75
LTU,50km,F,16
LTU,50km,M,59
MAR,,,19
MAR,,M,19
MAR,100km,,19
MAR,100km,M,19
MAS,,,10867
MAS,,F,2320
MAS,,M,8547
MAS,100km,,4133
MAS,100km,F,658
MAS,100km,M,3475
MAS,100mi,,77
MAS,100mi,F,9
MAS,100mi,M,68
MAS,50km,,6657
MAS,50km,F,1653
MAS,50km,M,5004
MEX,,,7457
MEX,,F,1878
MEX,,M,5579
MEX,100km,,1165
MEX,100km,F,201
MEX,100km,M,964
MEX,100mi,,53
MEX,100mi,F,5
MEX,100mi,M,48
MEX,50km,,5844
MEX,50km,F,1598
MEX,50km,M,4246
MEX,50mi,,395
MEX,50mi,F,74
MEX,50mi,M,321
MGL,,,76
MGL,,F,19
MGL,,M,57
MGL,100km,,37
MGL,100km,F,6
MGL,100km,M,31
MGL,50km,,39
MGL,50km,F,13
MGL,50km,M,26
MLI,,,6
MLI,,M,6
MLI,50km,,6
MLI,50km,M,6
MLT,,,289
MLT,,F,53
MLT,,M,236
MLT,50km,,289
MLT,50km,F,53
MLT,50km,M,236
MNE,,,32
MNE,,F,2
MNE,,M,30
MNE,50km,,32
MNE,50km,F,2
MNE,50km,M,30
MRI,,,353
MRI,,F,50
MRI,,M,303
MRI,100km,,21
MRI,100km,F,3
MRI,100km,M,18
MRI,50km,,332
MRI,50km,F,47
MRI,50km,M,285
NAM,,,48
NAM,,F,8
NAM,,M,40
NAM,100km,,48
NAM,100km,F,8
NAM,100km,M,40
NCA,,,98
NCA,,F,20
NCA,,M,78
NCA,100km,,24
NCA,100km,F,4
NCA,100km,M,20
NCA,50km,,74
NCA,50km,F,16
NCA,50km,M,58
NED,,,5405
NED,,F,1061
NED,,M,4344
NED,100km,,1141
NED,100km,F,254
NED,100km,M,887
NED,100mi,,76
NED,100mi,F,15
NED,100mi,M,61
NED,50km,,3959
NED,50km,F,755
NED,50km,M,3204
NED,50mi,,229
NED,50mi,F,37
NED,50mi,M,192
NEP,,,183
NEP,,F,51
NEP,,M,132
NEP,100km,,66
NEP,100km,F,15
NEP,100km,M,51
NEP,50km,,117
NEP,50km,F,36
NEP,50km,M,81
NOR,,,4270
NOR,,F,1130
NOR,,M,3140
NOR,100km,,364
NOR,100km,F,87
NOR,100km,M,277
NOR,100mi,,546
NOR,100mi,F,151
NOR,100mi,M,395
NOR,50km,,3166
NOR,50km,F,854
NOR,50km,M,2312
NOR,50mi,,194
NOR,50mi,F,38
NOR,50mi,M,156
NZL,,,4625
NZL,,F,1922
NZL,,M,2703
NZL,100km,,972
NZL,100km,F,305
NZL,100km,M,667
NZL,100mi,,630
NZL,100mi,F,164
NZL,100mi,M,466
NZL,50km,,2985
NZL,50km,F,1441
NZL,50km,M,1544
NZL,50mi,,38
NZL,50mi,F,12
NZL,50mi,M,26
OMA,,,159
OMA,,F,38
OMA,,M,121
OMA,50km,,159
OMA,50km,F,38
OMA,50km,M,121
PAR,,,175
PAR,,F,66
PAR,,M,109
PAR,100km,,50
PAR,100km,F,21
PAR,100km,M,29
PAR,50km,,125
PAR,50km,F,45
PAR,50km,M,80
PER,,,354
PER,,F,70
PER,,M,284
PER,100km,,128
PER,100km,F,30
PER,100km,M,98
PER,50km,,226
PER,50km,F,40
PER,50km,M,186
PHI,,,4765
PHI,,F,849
PHI,,M,3916
PHI,100km,,640
PHI,100km,F,87
PHI,100km,M,553
PHI,100mi,,378
PHI,100mi,F,37
PHI,100mi,M,341
PHI,50km,,3437
PHI,50km,F,692
PHI,50km,M,2745
PHI,50mi,,310
PHI,50mi,F,33
PHI,50mi,M,277
POL,,,9397
POL,,F,1237
POL,,M,8160
POL,100km,,5151
POL,100km,F,525
POL,100km,M,4626
POL,100mi,,446
POL,100mi,F,67
POL,100mi,M,379
POL,50km,,3743
POL,50km,F,641
POL,50km,M,3102
POL,50mi,,57
POL,50mi,F,4
POL,50mi,M,53
POR,,,4817
POR,,F,529
POR,,M,4288
POR,100km,,1772
POR,100km,F,176
POR,100km,M,1596
POR,50km,,3008
POR,50km,F,346
POR,50km,M,2662
POR,50mi,,37
POR,50mi,F,7
POR,50mi,M,30
PUR,,,38
PUR,,F,13
PUR,,M,25
PUR,50km,,13
PUR,50km,F,3
PUR,50km,M,10
PUR,50mi,,25
PUR,50mi,F,10
PUR,50mi,M,15
QAT,,,111
QAT,,F,27
QAT,,M,84
QAT,50km,,111
QAT,50km,F,27
QAT,50km,M,84
ROU,,,1526
ROU,,F,340
ROU,,M,1186
ROU,100km,,416
ROU,100km,F,80
ROU,100km,M,336
ROU,100mi,,98
ROU,100mi,F,43
ROU,100mi,M,55
ROU,50km,,1012
ROU,50km,F,217
ROU,50km,M,795
RSA,,,61428
RSA,,F,16071
RSA,,M,45357
RSA,100km,,1356
RSA,100km,F,247
RSA,100km,M,1109
RSA,100mi,,825
RSA,100mi,F,178
RSA,100mi,M,647
RSA,50km,,58974
RSA,50km,F,15538
RSA,50km,M,43436
RSA,50mi,,273
RSA,50mi,F,108
RSA,50mi,M,165
RUS,,,3997
RUS,,F,568
RUS,,M,3429
RUS,100km,,1160
RUS,100km,F,133
RUS,100km,M,1027
RUS,100mi,,136
RUS,100mi,F,16
RUS,100mi,M,120
RUS,50km,,2451
RUS,50km,F,381
RUS,50km,M,2070
RUS,50mi,,250
RUS,50mi,F,38
RUS,50mi,M,212
SGP,,,1165
SGP,,F,227
SGP,,M,938
SGP,100km,,113
SGP,100km,F,20
SGP,100km,M,93
SGP,100mi,,64
SGP,100mi,F,8
SGP,100mi,M,56
SGP,50km,,988
SGP,50km,F,199
SGP,50km,M,789
SLO,,,1058
SLO,,F,288
SLO,,M,770
SLO,100km,,338
SLO,100km,F,63
SLO,100km,M,275
SLO,100mi,,3
SLO,100mi,M,3
SLO,50km,,717
SLO,50km,F,225
SLO,50km,M,492
SRB,,,236
SRB,,F,34
SRB,,M,202
SRB,100km,,111
SRB,100km,F,14
SRB,100km,M,97
SRB,100mi,,14
SRB,100mi,F,1
SRB,100mi,M,13
SRB,50km,,103
SRB,50km,F,17
SRB,50km,M,86
SRB,50mi,,8
SRB,50mi,F,2
SRB,50mi,M,6
SUI,,,6278
SUI,,F,1140
SUI,,M,5138
SUI,100km,,4736
SUI,100km,F,869
SUI,100km,M,3867
SUI,100mi,,100
SUI,100mi,F,22
SUI,100mi,M,78
SUI,50km,,1442
SUI,50km,F,249
SUI,50km,M,1193
SVK,,,677
SVK,,F,93
SVK,,M,584
SVK,100km,,36
SVK,100km,F,2
SVK,100km,M,34
SVK,50km,,641
SVK,50km,F,91
SVK,50km,M,550
SWE,,,8389
SWE,,F,1901
SWE,,M,6488
SWE,100km,,1116
SWE,100km,F,281
SWE,100km,M,835
SWE,100mi,,1404
SWE,100mi,F,246
SWE,100mi,M,1158
SWE,50km,,5162
SWE,50km,F,1187
SWE,50km,M,3975
SWE,50mi,,707
SWE,50mi,F,187
SWE,50mi,M,520
THA,,,11719
THA,,F,2258
THA,,M,9461
THA,100km,,3225
THA,100km,F,455
THA,100km,M,2770
THA,100mi,,239
THA,100mi,F,46
THA,100mi,M,193
THA,50km,,8255
THA,50km,F,1757
THA,50km,M,6498
TPE,,,25203
TPE,,F,3415
TPE,,M,21788
TPE,100km,,11274
TPE,100km,F,1191
TPE,100km,M,10083
TPE,100mi,,682
TPE,100mi,F,127
TPE,100mi,M,555
TPE,50km,,11753
TPE,50km,F,1821
TPE,50km,M,9932
TPE,50mi,,1494
TPE,50mi,F,276
TPE,50mi,M,1218
TUN,,,145
TUN,,F,23
TUN,,M,122
TUN,100km,,145
TUN,100km,F,23
TUN,100km,M,122
TUR,,,375
TUR,,F,40
TUR,,M,335
TUR,100km,,75
TUR,100km,F,4
TUR,100km,M,71
TUR,50km,,300
TUR,50km,F,36
TUR,50km,M,264
UAE,,,351
UAE,,F,63
UAE,,M,288
UAE,100km,,122
UAE,100km,F,26
UAE,100km,M,96
UAE,50km,,229
UAE,50km,F,37
UAE,50km,M,192
UKR,,,836
UKR,,F,130
UKR,,M,706
UKR,100km,,522
UKR,100km,F,86
UKR,100km,M,436
UKR,100mi,,3
UKR,100mi,M,3
UKR,50km,,308
UKR,50km,F,44
UKR,50km,M,264
UKR,50mi,,3
UKR,50mi,M,3
URU,,,97
URU,,F,24
URU,,M,73
URU,100km,,37
URU,100km,F,6
URU,100km,M,31
URU,50km,,60
URU,50km,F,18
URU,50km,M,42
USA,,,339384
USA,,F,115115
USA,,M,224269
USA,100km,,23758
USA,100km,F,7087
USA,100km,M,16671
USA,100mi,,41610
USA,100mi,F,10797
USA,100mi,M,30813
USA,50km,,205718
USA,50km,F,75621
USA,50km,M,130097
USA,50mi,,68298
USA,50mi,F,21610
USA,50mi,M,46688
VEN,,,89
VEN,,F,16
VEN,,M,73
VEN,100km,,31
VEN,100km,F,9
VEN,100km,M,22
VEN,50km,,58
VEN,50km,F,7
VEN,50km,M,51
VIE,,,311
VIE,,F,34
VIE,,M,277
VIE,100km,,228
VIE,100km,F,29
VIE,100km,M,199
VIE,100mi,,55
VIE,100mi,M,55
VIE,50km,,28
VIE,50km,F,5
VIE,50km,M,23
